mode_index,relative_singular_value,transmission_class_0p1,transmission_class_0p01
1,1.0,strong,recoverable
2,0.7689163707,strong,recoverable
3,0.590730263,strong,recoverable
4,0.4659191336,strong,recoverable
5,0.3763985528,strong,recoverable
6,0.3076570365,strong,recoverable
7,0.2538203212,strong,recoverable
8,0.2110586147,strong,recoverable
9,0.1767766184,strong,recoverable
10,0.1488788321,strong,recoverable
11,0.1259519656,strong,recoverable
12,0.1070002073,strong,recoverable
13,0.0912235065,weak,recoverable
14,0.0779963302,weak,recoverable
15,0.0668324698,weak,recoverable
16,0.0573676301,weak,recoverable
17,0.0493122463,weak,recoverable
18,0.0424259937,weak,recoverable
19,0.0365074193,weak,recoverable
20,0.0313858954,weak,recoverable
21,0.026915689,weak,recoverable
22,0.0229708038,weak,recoverable
23,0.0194414498,weak,recoverable
24,0.0162306809,weak,recoverable
25,0.0132519568,weak,recoverable
26,0.0104266421,weak,recoverable
27,0.0076810954,weak,near-horizon
28,0.0048627479,weak,near-horizon
29,0.00266021,weak,near-horizon
